id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12748529,Mezzanine bedroom,68802793,Maik,Tempelhof - Schöneberg,Schöneberg-Nord,52.496698361634074,13.346511254125229,Private room,45,2,3,2017-02-15,0.34,4,349
16942001,Bright Room in Central Location!,113238281,Aviva,Tempelhof - Schöneberg,Schöneberg-Nord,52.50066916692104,13.349634518753152,Private room,35,1,3,2017-03-31,1.76,3,356
12418918,Spacious flat suitable for families,18237068,Matthias,Tempelhof - Schöneberg,Schöneberg-Nord,52.49570317027743,13.361751844228484,Entire home/apt,120,7,2,2016-07-25,0.22,1,0
5281256,Air conditioning 2-bedroom flat,27341594,Albert,Tempelhof - Schöneberg,Schöneberg-Nord,52.49120842386967,13.345382685441669,Entire home/apt,69,3,49,2017-03-20,2.11,1,253
15977445,bright and cozy room at winterfeldtplatz,8360497,Clara,Tempelhof - Schöneberg,Schöneberg-Nord,52.496365617346335,13.354283879750847,Private room,29,500,1,2016-12-25,0.29,1,83
7634603,Industrial Mini Loft in central gay Berlin,1236139,Frederic,Tempelhof - Schöneberg,Schöneberg-Nord,52.497697661772875,13.351337791861074,Entire home/apt,99,5,41,2016-09-24,2.13,2,0
2063885,The Greenhouse Loft,10560990,Mario,Tempelhof - Schöneberg,Schöneberg-Nord,52.496166646477135,13.360869628387368,Entire home/apt,280,7,9,2017-03-16,0.39,1,132
4358176,Schönes ruhiges Zimmer,13671179,Marcus,Tempelhof - Schöneberg,Schöneberg-Nord,52.49697376127917,13.35474210384804,Private room,37,2,19,2017-01-05,0.69,1,342
12351038,"Big, bright room in Schöneberg",38168122,Katharina,Tempelhof - Schöneberg,Schöneberg-Nord,52.49406637635187,13.362066373645114,Private room,27,1,0,,,1,0
17331756,Funky Industrial Flat,41016354,Julian,Tempelhof - Schöneberg,Schöneberg-Nord,52.49976993231422,13.340307416573387,Private room,35,2,1,2017-04-03,1,1,83
11500564,Private Room in shared flat,21158428,Julie,Tempelhof - Schöneberg,Schöneberg-Nord,52.497457308908835,13.36818715295392,Private room,23,4,0,,,1,0
4298404,One-room apartment in Berlin Zone A,22314657,Shih-Hao,Tempelhof - Schöneberg,Schöneberg-Nord,52.493120701133,13.346223575451306,Entire home/apt,25,3,1,2015-01-03,0.04,1,0
12729863,"Gemütliche ""Berlinerzimmer"" Wohnung",60759127,Lukas,Tempelhof - Schöneberg,Schöneberg-Nord,52.4954952854472,13.340072698778503,Private room,50,1,4,2016-10-19,0.58,1,365
3634155,sofa in my little appartment,18322069,Norm,Tempelhof - Schöneberg,Schöneberg-Nord,52.495727311890235,13.348382292727486,Shared room,25,1,31,2017-03-27,0.96,1,334
14316459,Cozy Loft near KaDeWe fancy places around,14967763,Martina,Tempelhof - Schöneberg,Schöneberg-Nord,52.497278022816275,13.337861506742719,Entire home/apt,95,3,0,,,1,24
15233894,"3 Zimmer, sonnig in Schöneberg",19734147,Tobias,Tempelhof - Schöneberg,Schöneberg-Nord,52.495809948727384,13.35023473483268,Entire home/apt,90,1,1,2016-10-23,0.18,1,57
1676267,2 Zimmer Wohnung im Herzen Berlins,8868596,Lana,Tempelhof - Schöneberg,Schöneberg-Nord,52.497291620959246,13.338277339150867,Entire home/apt,60,14,0,,,1,0
7565623,1 Zimmerappartment,39328517,Nicole,Tempelhof - Schöneberg,Schöneberg-Nord,52.49126656192756,13.353199956878889,Entire home/apt,35,1,1,2015-08-11,0.05,1,0
17133878,Big room near KaDeWe,8136526,Anna,Tempelhof - Schöneberg,Schöneberg-Nord,52.49985284759798,13.34177568386211,Private room,57,1,3,2017-04-01,1.53,2,89
3961122,2 spacious rooms,20527952,Christian,Tempelhof - Schöneberg,Schöneberg-Nord,52.492116549408635,13.363945384514096,Private room,70,4,1,2016-01-02,0.06,1,0
